job_male,job_female,similarity,job_male_ratio,job_female_ratio
Occupational health and safety specialist,Insurance claims and policy processing clerk,0.85205078125,17.9,80.1
First-line supervisor of non-retail sales workers,Training and development specialist,0.85205078125,35.9,56.7
Counter and rental clerk,Marketing specialist,0.85205078125,38.7,61.7
Training and development manager,Supervisor of personal care and service workers,0.8515625,48.0,65.8
Management analyst,Receptionist,0.8515625,46.6,89.1
Web and digital interface designer,Graphic designer,0.8515625,42.7,54.7
Electrical and electronic engineering technician,Public relations manager,0.8515625,11.6,66.4
Electrical and electronic engineering technician,Human resources manager,0.8515625,11.6,76.5
Occupational health and safety specialist,Occupational therapist,0.8515625,17.9,88.6
First-line supervisor of non-retail sales workers,Human resources manager,0.8515625,35.9,76.5
Facilities manager,Advertising sales agent,0.85107421875,23.4,52.7
Architectural and engineering manager,Payroll and timekeeping clerk,0.85107421875,12.8,88.2
Chemical technician,Operations research analyst,0.85107421875,35.0,55.0
Chemical technician,Medical assistant,0.85107421875,35.0,88.8
Postsecondary teacher,Preschool and kindergarten teacher,0.85107421875,46.6,96.7
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of office and administrative support workers,0.85107421875,44.1,65.8
First-line supervisor of retail sales workers,Billing and posting clerk,0.85107421875,44.6,91.4
Retail salesperson,Insurance sales agent,0.85107421875,49.2,54.9
Facilities manager,Recreation worker,0.8505859375,23.4,58.9
Information security analyst,Accountant,0.8505859375,19.3,57.0
Computer support specialist,Marketing specialist,0.8505859375,26.2,61.7
Lawyer,Paralegal,0.8505859375,39.5,83.0
Surgeon,Medical scientist,0.8505859375,20.0,51.8
First-line supervisor of retail sales workers,Marketing manager,0.8505859375,44.6,62.4
Counter and rental clerk,Marketing manager,0.8505859375,38.7,62.4
Wastewater treatment system operator,Human resources worker,0.8505859375,7.3,76.5
Sales manager,Real estate broker,0.85009765625,33.1,57.0
Information security analyst,Advertising sales agent,0.85009765625,19.3,52.7
Electrical and electronics engineer,Medical and health services manager,0.85009765625,11.6,71.8
Lawyer,Financial manager,0.85009765625,39.5,56.2
First-line supervisor of non-retail sales workers,Billing and posting clerk,0.85009765625,35.9,91.4
Industrial production manager,Supervisor of personal care and service workers,0.849609375,19.1,65.8
Architectural and engineering manager,Entertainment and recreation manager,0.849609375,12.8,50.1
Management analyst,Real estate broker,0.849609375,46.6,57.0
Chemical engineer,Financial manager,0.849609375,21.6,56.2
First-line supervisor of retail sales workers,Public relations specialist,0.849609375,44.6,76.2
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,0.849609375,35.9,88.2
Architectural and engineering manager,Psychiatric technician,0.84912109375,12.8,69.5
Personal financial advisor,Mental health counselor,0.84912109375,32.6,74.6
Information security analyst,Radiologic technician,0.84912109375,19.3,70.3
Sales manager,Insurance underwriter,0.8486328125,33.1,56.9
Computer support specialist,Social and human service assistant,0.8486328125,26.2,75.3
Chemical technician,Ophthalmic medical technician,0.8486328125,35.0,73.7
Gambling services worker,Human resources worker,0.8486328125,40.2,76.5
Food service manager,Childcare administrator,0.84814453125,46.7,68.6
Food service manager,Insurance sales agent,0.84814453125,46.7,54.9
Personal financial advisor,Loan officer,0.84814453125,32.6,51.6
Electrical and electronics engineer,Training and development specialist,0.84814453125,11.6,56.7
Chemical technician,Financial manager,0.84814453125,35.0,56.2
Chemical technician,Medical appliance technician,0.84814453125,35.0,58.9
First-line supervisor of housekeeping and janitorial workers,Supervisor of personal care and service workers,0.84814453125,44.1,65.8
First-line supervisor of retail sales workers,Training and development specialist,0.84814453125,44.6,56.7
Retail salesperson,Receptionist,0.84814453125,49.2,89.1
Transportation service attendant,Public relations manager,0.84814453125,23.4,66.4
Architectural and engineering manager,Insurance underwriter,0.84765625,12.8,56.9
Project management specialist,Supervisor of personal care and service workers,0.84765625,47.3,65.8
Software developer,Advertising sales agent,0.84765625,20.2,52.7
Computer support specialist,Medical records specialist,0.84765625,26.2,88.9
Chemical technician,Radiologic technician,0.84765625,35.0,70.3
Management analyst,Psychiatric technician,0.84716796875,46.6,69.5
Chemical engineer,Operations research analyst,0.84716796875,21.6,55.0
Actor,Artist,0.84716796875,47.0,51.6
Transportation service attendant,Order clerk,0.84716796875,23.4,58.3
Project management specialist,Radiologic technician,0.8466796875,47.3,70.3
Operation manager,Operations research analyst,0.84619140625,37.1,55.0
Construction manager,Advertising sales agent,0.84619140625,10.6,52.7
Construction manager,Insurance sales agent,0.84619140625,10.6,54.9
Information security analyst,Executive secretary,0.84619140625,19.3,90.0
Network and computer systems administrator,Human resources manager,0.84619140625,16.7,76.5
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,0.84619140625,44.1,88.4
First-line supervisor of retail sales workers,Public relations manager,0.84619140625,44.6,66.4
Operation manager,Accountant,0.845703125,37.1,57.0
Architectural and engineering manager,Real estate broker,0.845703125,12.8,57.0
Financial and investment analyst,Payroll and timekeeping clerk,0.845703125,43.9,88.2
Electrical and electronics engineer,Financial manager,0.845703125,11.6,56.2
Electrical and electronic engineering technician,Social and community service manager,0.845703125,11.6,71.7
Chemical technician,Biological scientist,0.845703125,35.0,55.0
Occupational health and safety specialist,Supervisor of personal care and service workers,0.845703125,17.9,65.8
Retail salesperson,Social and community service manager,0.845703125,49.2,71.7
Industrial production manager,Executive secretary,0.84521484375,19.1,90.0
Cost estimator,Financial manager,0.84521484375,17.7,56.2
Financial and investment analyst,Lodging manager,0.84521484375,43.9,61.6
Web developer,Human resources worker,0.84521484375,19.4,76.5
Chemical technician,Accountant,0.84521484375,35.0,57.0
Photographer,Artist,0.84521484375,48.5,51.6
Emergency medical technician,Medical and health services manager,0.84521484375,39.4,71.8
Gambling services worker,Administrative services manager,0.84521484375,40.2,74.0
Transportation service attendant,Supervisor of personal care and service workers,0.84521484375,23.4,65.8
Web developer,Social and community service manager,0.8447265625,19.4,71.7
Computer support specialist,Human resources worker,0.8447265625,26.2,76.5
Electrical and electronics engineer,Marketing manager,0.8447265625,11.6,62.4
Chemical technician,Marketing manager,0.8447265625,35.0,62.4
First-line supervisor of non-retail sales workers,Operations research analyst,0.8447265625,35.9,55.0
Retail salesperson,Public relations manager,0.8447265625,49.2,66.4
Telecommunication equipment installer,Medical appliance technician,0.8447265625,5.9,58.9
Transportation service attendant,Human resources manager,0.8447265625,23.4,76.5
Facilities manager,Order clerk,0.84423828125,23.4,58.3
Construction manager,Accountant,0.84423828125,10.6,57.0
Management analyst,Healthcare social worker,0.84423828125,46.6,77.9
Property assessor,Financial manager,0.84423828125,34.2,56.2
Software developer,Insurance underwriter,0.84423828125,20.2,56.9
Occupational health and safety specialist,Executive secretary,0.84423828125,17.9,90.0
Counter and rental clerk,Human resources manager,0.84423828125,38.7,76.5
Training and development manager,Insurance underwriter,0.84375,48.0,56.9
Property assessor,Insurance underwriter,0.84375,34.2,56.9
First-line supervisor of non-retail sales workers,Marketing manager,0.84375,35.9,62.4
Operation manager,Administrative services manager,0.84326171875,37.1,74.0
Sales manager,Medical records specialist,0.84326171875,33.1,88.9
Training and development manager,Healthcare social worker,0.84326171875,48.0,77.9
Industrial production manager,Medical records specialist,0.84326171875,19.1,88.9
Purchasing manager,Billing and posting clerk,0.84326171875,47.7,91.4
Web and digital interface designer,Public relations specialist,0.84326171875,42.7,76.2
Electrical and electronics engineer,Human resources worker,0.84326171875,11.6,76.5
Occupational health and safety specialist,Medical records specialist,0.84326171875,17.9,88.9
First-line supervisor of firefighting and prevention workers,First-line supervisor of office and administrative support workers,0.84326171875,6.1,65.8
Gambling services worker,Social and community service manager,0.84326171875,40.2,71.7
Industrial production manager,Insurance underwriter,0.8427734375,19.1,56.9
Food service manager,Insurance claims and policy processing clerk,0.8427734375,46.7,80.1
Software developer,Medical scientist,0.8427734375,20.2,51.8
Web developer,Public relations specialist,0.8427734375,19.4,76.2
Chemical engineer,Clinical laboratory technician,0.8427734375,21.6,76.3
Gambling services worker,Customer service representative,0.8427734375,40.2,65.3
Counter and rental clerk,Public relations manager,0.8427734375,38.7,66.4
Telecommunication equipment installer,Customer service representative,0.8427734375,5.9,65.3
Training and development manager,Entertainment and recreation manager,0.84228515625,48.0,50.1
